Primary Symptom,Q1,Q2,Q3,Q4,Q5,Q6,Urgency,Recommended Test 1,Test 1 Description,Recommended Test 2,Test 2 Description,Recommended Test 3,Test 3 Description,Recommended Test 4,Test 4 Description,Recommended Test 5,Test 5 Description,Recommended Test 6,Test 6 Description
Dizziness,0,1,0,0,1,1,Soon,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.
Dizziness,1,3,1,1,1,0,Urgent,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.
Dizziness,1,1,0,0,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.
Dizziness,0,3,1,1,0,0,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.
Dizziness,0,2,0,1,1,0,Soon,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Dizziness,1,3,1,1,1,1,Urgent,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Dizziness,1,1,1,1,1,0,Soon,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues."
Dizziness,1,3,0,1,1,0,Urgent,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Dizziness,0,1,0,1,1,0,Soon,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Dizziness,0,1,1,1,0,0,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.
